module_name,category,phase,phase_name,purpose_output_goal,data_sources,auth_strategy,telemetry_tables,success_criteria,failure_modes,execution_frequency,runtime_estimate_minutes,owner_team,development_status,priority,impact_level,priority_score,batch_order_hint,integration_endpoints,credential_owner,secret_rotation_days,telemetry_schema_notes,expected_artifacts,rollback_plan
ssl_certificate_expiry_check,Audit & Reporting,3,Network Exposure Scanning,Map exposed services and policy misconfigurations across perimeter firewalls and DMZ.,"Panorama API, Nmap TCP/UDP, SNMPv3 on edge devices",Panorama API key per tenant; SNMPv3 authPriv; all secrets in Vault; source IP allow-listed.,"network_assets, network_findings, firewall_policies",≥90% subnet coverage; port/service inventory updated; policy anomalies flagged.,ACL blocks; scan budget exceeded; SNMP auth fail; API throttling.,daily,15,NetOps,design,P2 - Elevated,High,4.0,2,https://panorama/api/; nmap://scanner; snmpv3://edge-fw,NetOps via Vault (kv/tenants/<tenant>/panorama),90,"network_findings(id uuid pk, tenant_id, ip inet, port int, svc text, severity text, meta jsonb)","Open-port delta report, exposed service list, policy drift summary; Raw network_assets export; Raw network_findings export; Raw firewall_policies export",Throttle probes; fall back to last inventory; requeue with backoff; notify NetOps.
certificate_transparency_monitor,Audit & Reporting,3,Network Exposure Scanning,Map exposed services and policy misconfigurations across perimeter firewalls and DMZ.,"Panorama API, Nmap TCP/UDP, SNMPv3 on edge devices",Panorama API key per tenant; SNMPv3 authPriv; all secrets in Vault; source IP allow-listed.,"network_assets, network_findings, firewall_policies",≥90% subnet coverage; port/service inventory updated; policy anomalies flagged.,ACL blocks; scan budget exceeded; SNMP auth fail; API throttling.,daily,15,NetOps,design,P2 - Elevated,High,4.0,2,https://panorama/api/; nmap://scanner; snmpv3://edge-fw,NetOps via Vault (kv/tenants/<tenant>/panorama),90,"network_findings(id uuid pk, tenant_id, ip inet, port int, svc text, severity text, meta jsonb)","Open-port delta report, exposed service list, policy drift summary; Raw network_assets export; Raw network_findings export; Raw firewall_policies export",Throttle probes; fall back to last inventory; requeue with backoff; notify NetOps.
account_lockout_policy_checker,Audit & Reporting,3,Network Exposure Scanning,Map exposed services and policy misconfigurations across perimeter firewalls and DMZ.,"Panorama API, Nmap TCP/UDP, SNMPv3 on edge devices",Panorama API key per tenant; SNMPv3 authPriv; all secrets in Vault; source IP allow-listed.,"network_assets, network_findings, firewall_policies",≥90% subnet coverage; port/service inventory updated; policy anomalies flagged.,ACL blocks; scan budget exceeded; SNMP auth fail; API throttling.,daily,15,NetOps,design,P2 - Elevated,High,4.0,2,https://panorama/api/; nmap://scanner; snmpv3://edge-fw,NetOps via Vault (kv/tenants/<tenant>/panorama),90,"network_findings(id uuid pk, tenant_id, ip inet, port int, svc text, severity text, meta jsonb)","Open-port delta report, exposed service list, policy drift summary; Raw network_assets export; Raw network_findings export; Raw firewall_policies export",Throttle probes; fall back to last inventory; requeue with backoff; notify NetOps.
password_policy_audit,Audit & Reporting,3,Network Exposure Scanning,Map exposed services and policy misconfigurations across perimeter firewalls and DMZ.,"Panorama API, Nmap TCP/UDP, SNMPv3 on edge devices",Panorama API key per tenant; SNMPv3 authPriv; all secrets in Vault; source IP allow-listed.,"network_assets, network_findings, firewall_policies",≥90% subnet coverage; port/service inventory updated; policy anomalies flagged.,ACL blocks; scan budget exceeded; SNMP auth fail; API throttling.,daily,15,NetOps,design,P2 - Elevated,High,4.0,2,https://panorama/api/; nmap://scanner; snmpv3://edge-fw,NetOps via Vault (kv/tenants/<tenant>/panorama),90,"network_findings(id uuid pk, tenant_id, ip inet, port int, svc text, severity text, meta jsonb)","Open-port delta report, exposed service list, policy drift summary; Raw network_assets export; Raw network_findings export; Raw firewall_policies export",Throttle probes; fall back to last inventory; requeue with backoff; notify NetOps.
backup_verification_tool,Audit & Reporting,3,Network Exposure Scanning,Map exposed services and policy misconfigurations across perimeter firewalls and DMZ.,"Panorama API, Nmap TCP/UDP, SNMPv3 on edge devices",Panorama API key per tenant; SNMPv3 authPriv; all secrets in Vault; source IP allow-listed.,"network_assets, network_findings, firewall_policies",≥90% subnet coverage; port/service inventory updated; policy anomalies flagged.,ACL blocks; scan budget exceeded; SNMP auth fail; API throttling.,daily,15,NetOps,design,P2 - Elevated,High,4.0,2,https://panorama/api/; nmap://scanner; snmpv3://edge-fw,NetOps via Vault (kv/tenants/<tenant>/panorama),90,"network_findings(id uuid pk, tenant_id, ip inet, port int, svc text, severity text, meta jsonb)","Open-port delta report, exposed service list, policy drift summary; Raw network_assets export; Raw network_findings export; Raw firewall_policies export",Throttle probes; fall back to last inventory; requeue with backoff; notify NetOps.
third_party_risk_audit,Audit & Reporting,3,Network Exposure Scanning,Map exposed services and policy misconfigurations across perimeter firewalls and DMZ.,"Panorama API, Nmap TCP/UDP, SNMPv3 on edge devices",Panorama API key per tenant; SNMPv3 authPriv; all secrets in Vault; source IP allow-listed.,"network_assets, network_findings, firewall_policies",≥90% subnet coverage; port/service inventory updated; policy anomalies flagged.,ACL blocks; scan budget exceeded; SNMP auth fail; API throttling.,daily,15,NetOps,design,P2 - Elevated,High,4.0,2,https://panorama/api/; nmap://scanner; snmpv3://edge-fw,NetOps via Vault (kv/tenants/<tenant>/panorama),90,"network_findings(id uuid pk, tenant_id, ip inet, port int, svc text, severity text, meta jsonb)","Open-port delta report, exposed service list, policy drift summary; Raw network_assets export; Raw network_findings export; Raw firewall_policies export",Throttle probes; fall back to last inventory; requeue with backoff; notify NetOps.
contract_compliance_checker,Audit & Reporting,3,Network Exposure Scanning,Map exposed services and policy misconfigurations across perimeter firewalls and DMZ.,"Panorama API, Nmap TCP/UDP, SNMPv3 on edge devices",Panorama API key per tenant; SNMPv3 authPriv; all secrets in Vault; source IP allow-listed.,"network_assets, network_findings, firewall_policies",≥90% subnet coverage; port/service inventory updated; policy anomalies flagged.,ACL blocks; scan budget exceeded; SNMP auth fail; API throttling.,daily,15,NetOps,design,P2 - Elevated,High,4.0,2,https://panorama/api/; nmap://scanner; snmpv3://edge-fw,NetOps via Vault (kv/tenants/<tenant>/panorama),90,"network_findings(id uuid pk, tenant_id, ip inet, port int, svc text, severity text, meta jsonb)","Open-port delta report, exposed service list, policy drift summary; Raw network_assets export; Raw network_findings export; Raw firewall_policies export",Throttle probes; fall back to last inventory; requeue with backoff; notify NetOps.
log_integrity_validator,Audit & Reporting,3,Network Exposure Scanning,Map exposed services and policy misconfigurations across perimeter firewalls and DMZ.,"Panorama API, Nmap TCP/UDP, SNMPv3 on edge devices",Panorama API key per tenant; SNMPv3 authPriv; all secrets in Vault; source IP allow-listed.,"network_assets, network_findings, firewall_policies",≥90% subnet coverage; port/service inventory updated; policy anomalies flagged.,ACL blocks; scan budget exceeded; SNMP auth fail; API throttling.,daily,15,NetOps,design,P2 - Elevated,High,4.0,2,https://panorama/api/; nmap://scanner; snmpv3://edge-fw,NetOps via Vault (kv/tenants/<tenant>/panorama),90,"network_findings(id uuid pk, tenant_id, ip inet, port int, svc text, severity text, meta jsonb)","Open-port delta report, exposed service list, policy drift summary; Raw network_assets export; Raw network_findings export; Raw firewall_policies export",Throttle probes; fall back to last inventory; requeue with backoff; notify NetOps.
config_change_audit,Audit & Reporting,3,Network Exposure Scanning,Map exposed services and policy misconfigurations across perimeter firewalls and DMZ.,"Panorama API, Nmap TCP/UDP, SNMPv3 on edge devices",Panorama API key per tenant; SNMPv3 authPriv; all secrets in Vault; source IP allow-listed.,"network_assets, network_findings, firewall_policies",≥90% subnet coverage; port/service inventory updated; policy anomalies flagged.,ACL blocks; scan budget exceeded; SNMP auth fail; API throttling.,daily,15,NetOps,design,P2 - Elevated,High,4.0,2,https://panorama/api/; nmap://scanner; snmpv3://edge-fw,NetOps via Vault (kv/tenants/<tenant>/panorama),90,"network_findings(id uuid pk, tenant_id, ip inet, port int, svc text, severity text, meta jsonb)","Open-port delta report, exposed service list, policy drift summary; Raw network_assets export; Raw network_findings export; Raw firewall_policies export",Throttle probes; fall back to last inventory; requeue with backoff; notify NetOps.
malware_signature_scan,Threat Detection,10,Threat Intelligence & Risk Engine,Ingest IOCs from MISP and correlate with assets/findings to raise risk signals.,"MISP REST API, OTX, NVD CVE API",API keys per tenant stored in Vault; request signing where supported; rotate every 90 days.,"ti_events, ti_indicators, correlations",Feeds <15 min stale; correlation jobs produce matches; bounded alert volume.,Feed lag; parse errors; correlation stalled; quota exceeded.,15min,8,SecOps,ready,P0 - Critical,High,5.0,1,https://misp.<org>.local/; https://otx.alienvault.com/api/; https://services.nvd.nist.gov/rest/json/cves/2.0,SecOps via Vault,90,"ti_indicators(type text, value text, source text, ts) + bloom filter on value","IOC freshness log, correlation summary, risk alerts",Disable problematic feed; fall back to last indicators; retry with jitter; alert SecOps.
ti_feed_aggregator,Threat Detection,10,Threat Intelligence & Risk Engine,Ingest IOCs from MISP and correlate with assets/findings to raise risk signals.,"MISP REST API, OTX, NVD CVE API",API keys per tenant stored in Vault; request signing where supported; rotate every 90 days.,"ti_events, ti_indicators, correlations",Feeds <15 min stale; correlation jobs produce matches; bounded alert volume.,Feed lag; parse errors; correlation stalled; quota exceeded.,15min,8,SecOps,ready,P0 - Critical,High,5.0,1,https://misp.<org>.local/; https://otx.alienvault.com/api/; https://services.nvd.nist.gov/rest/json/cves/2.0,SecOps via Vault,90,"ti_indicators(type text, value text, source text, ts) + bloom filter on value","IOC freshness log, correlation summary, risk alerts",Disable problematic feed; fall back to last indicators; retry with jitter; alert SecOps.
ioc_matcher,Threat Detection,10,Threat Intelligence & Risk Engine,Ingest IOCs from MISP and correlate with assets/findings to raise risk signals.,"MISP REST API, OTX, NVD CVE API, MISP, NVD",API keys per tenant in Vault kv/tenants/<tenant>/ti,"ti_events, ti_indicators, correlations",Feeds <15 min stale; correlation jobs produce matches; bounded alert volume.,Feed lag; parse errors; correlation stalled; quota exceeded.,15min,8,SecOps,ready,P0 - Critical,High,5.0,1,https://misp.<org>.local/; https://otx.alienvault.com/api/; https://services.nvd.nist.gov/rest/json/cves/2.0,SecOps via Vault,90,"ti_indicators(type text, value text, source text, ts) + bloom filter on value; ti_indicators(type,value,source,ts); ti_indicators(type,value,source,ts) bloom(value)","IOC freshness log, correlation summary, risk alerts",Disable problematic feed; fall back to last indicators; retry with jitter; alert SecOps.
behavioral_flags,Threat Detection,10,Threat Intelligence & Risk Engine,Ingest IOCs from MISP and correlate with assets/findings to raise risk signals.,"MISP REST API, OTX, NVD CVE API",API keys per tenant stored in Vault; request signing where supported; rotate every 90 days.,"ti_events, ti_indicators, correlations",Feeds <15 min stale; correlation jobs produce matches; bounded alert volume.,Feed lag; parse errors; correlation stalled; quota exceeded.,15min,8,SecOps,ready,P0 - Critical,High,5.0,1,https://misp.<org>.local/; https://otx.alienvault.com/api/; https://services.nvd.nist.gov/rest/json/cves/2.0,SecOps via Vault,90,"ti_indicators(type text, value text, source text, ts) + bloom filter on value","IOC freshness log, correlation summary, risk alerts",Disable problematic feed; fall back to last indicators; retry with jitter; alert SecOps.
unusual_login_pattern_alert,Threat Detection,10,Threat Intelligence & Risk Engine,Ingest IOCs from MISP and correlate with assets/findings to raise risk signals.,"MISP REST API, OTX, NVD CVE API",API keys per tenant stored in Vault; request signing where supported; rotate every 90 days.,"ti_events, ti_indicators, correlations",Feeds <15 min stale; correlation jobs produce matches; bounded alert volume.,Feed lag; parse errors; correlation stalled; quota exceeded.,15min,8,SecOps,ready,P0 - Critical,High,5.0,1,https://misp.<org>.local/; https://otx.alienvault.com/api/; https://services.nvd.nist.gov/rest/json/cves/2.0,SecOps via Vault,90,"ti_indicators(type text, value text, source text, ts) + bloom filter on value","IOC freshness log, correlation summary, risk alerts",Disable problematic feed; fall back to last indicators; retry with jitter; alert SecOps.
data_exfiltration_monitor,Threat Detection,10,Threat Intelligence & Risk Engine,Ingest IOCs from MISP and correlate with assets/findings to raise risk signals.,"MISP REST API, OTX, NVD CVE API",API keys per tenant stored in Vault; request signing where supported; rotate every 90 days.,"ti_events, ti_indicators, correlations",Feeds <15 min stale; correlation jobs produce matches; bounded alert volume.,Feed lag; parse errors; correlation stalled; quota exceeded.,15min,8,SecOps,ready,P0 - Critical,High,5.0,1,https://misp.<org>.local/; https://otx.alienvault.com/api/; https://services.nvd.nist.gov/rest/json/cves/2.0,SecOps via Vault,90,"ti_indicators(type text, value text, source text, ts) + bloom filter on value","IOC freshness log, correlation summary, risk alerts",Disable problematic feed; fall back to last indicators; retry with jitter; alert SecOps.
ct_log_monitor,Threat Detection,10,Threat Intelligence & Risk Engine,Ingest IOCs from MISP and correlate with assets/findings to raise risk signals.,"MISP REST API, OTX, NVD CVE API",API keys per tenant stored in Vault; request signing where supported; rotate every 90 days.,"ti_events, ti_indicators, correlations",Feeds <15 min stale; correlation jobs produce matches; bounded alert volume.,Feed lag; parse errors; correlation stalled; quota exceeded.,15min,8,SecOps,ready,P0 - Critical,High,5.0,1,https://misp.<org>.local/; https://otx.alienvault.com/api/; https://services.nvd.nist.gov/rest/json/cves/2.0,SecOps via Vault,90,"ti_indicators(type text, value text, source text, ts) + bloom filter on value","IOC freshness log, correlation summary, risk alerts",Disable problematic feed; fall back to last indicators; retry with jitter; alert SecOps.
suspicious_process_detector,Threat Detection,10,Threat Intelligence & Risk Engine,Ingest IOCs from MISP and correlate with assets/findings to raise risk signals.,"MISP REST API, OTX, NVD CVE API",API keys per tenant stored in Vault; request signing where supported; rotate every 90 days.,"ti_events, ti_indicators, correlations",Feeds <15 min stale; correlation jobs produce matches; bounded alert volume.,Feed lag; parse errors; correlation stalled; quota exceeded.,15min,8,SecOps,ready,P0 - Critical,High,5.0,1,https://misp.<org>.local/; https://otx.alienvault.com/api/; https://services.nvd.nist.gov/rest/json/cves/2.0; agent://linux,SecOps via Vault,90,"ti_indicators(type text, value text, source text, ts) + bloom filter on value; proc_snapshots(host_id,ts,processes jsonb)","IOC freshness log, correlation summary, risk alerts",Disable problematic feed; fall back to last indicators; retry with jitter; alert SecOps.
phishing_url_scanner,Threat Detection,10,Threat Intelligence & Risk Engine,Ingest IOCs from MISP and correlate with assets/findings to raise risk signals.,"MISP REST API, OTX, NVD CVE API",API keys per tenant stored in Vault; request signing where supported; rotate every 90 days.,"ti_events, ti_indicators, correlations",Feeds <15 min stale; correlation jobs produce matches; bounded alert volume.,Feed lag; parse errors; correlation stalled; quota exceeded.,15min,8,SecOps,ready,P0 - Critical,High,5.0,1,https://misp.<org>.local/; https://otx.alienvault.com/api/; https://services.nvd.nist.gov/rest/json/cves/2.0,SecOps via Vault,90,"ti_indicators(type text, value text, source text, ts) + bloom filter on value","IOC freshness log, correlation summary, risk alerts",Disable problematic feed; fall back to last indicators; retry with jitter; alert SecOps.
dns_tunnel_detector,Threat Detection,10,Threat Intelligence & Risk Engine,Ingest IOCs from MISP and correlate with assets/findings to raise risk signals.,"MISP REST API, OTX, NVD CVE API",API keys per tenant stored in Vault; request signing where supported; rotate every 90 days.,"ti_events, ti_indicators, correlations",Feeds <15 min stale; correlation jobs produce matches; bounded alert volume.,Feed lag; parse errors; correlation stalled; quota exceeded.,15min,8,SecOps,ready,P0 - Critical,High,5.0,1,https://misp.<org>.local/; https://otx.alienvault.com/api/; https://services.nvd.nist.gov/rest/json/cves/2.0,SecOps via Vault,90,"ti_indicators(type text, value text, source text, ts) + bloom filter on value","IOC freshness log, correlation summary, risk alerts",Disable problematic feed; fall back to last indicators; retry with jitter; alert SecOps.
malicious_ip_reputation,Threat Detection,10,Threat Intelligence & Risk Engine,Ingest IOCs from MISP and correlate with assets/findings to raise risk signals.,"MISP REST API, OTX, NVD CVE API",API keys per tenant stored in Vault; request signing where supported; rotate every 90 days.,"ti_events, ti_indicators, correlations",Feeds <15 min stale; correlation jobs produce matches; bounded alert volume.,Feed lag; parse errors; correlation stalled; quota exceeded.,15min,8,SecOps,ready,P0 - Critical,High,5.0,1,https://misp.<org>.local/; https://otx.alienvault.com/api/; https://services.nvd.nist.gov/rest/json/cves/2.0,SecOps via Vault,90,"ti_indicators(type text, value text, source text, ts) + bloom filter on value","IOC freshness log, correlation summary, risk alerts",Disable problematic feed; fall back to last indicators; retry with jitter; alert SecOps.
fileless_attack_detector,Threat Detection,10,Threat Intelligence & Risk Engine,Ingest IOCs from MISP and correlate with assets/findings to raise risk signals.,"MISP REST API, OTX, NVD CVE API",API keys per tenant stored in Vault; request signing where supported; rotate every 90 days.,"ti_events, ti_indicators, correlations",Feeds <15 min stale; correlation jobs produce matches; bounded alert volume.,Feed lag; parse errors; correlation stalled; quota exceeded.,15min,8,SecOps,ready,P0 - Critical,High,5.0,1,https://misp.<org>.local/; https://otx.alienvault.com/api/; https://services.nvd.nist.gov/rest/json/cves/2.0,SecOps via Vault,90,"ti_indicators(type text, value text, source text, ts) + bloom filter on value","IOC freshness log, correlation summary, risk alerts",Disable problematic feed; fall back to last indicators; retry with jitter; alert SecOps.
vulnerable_software_scanner,Vulnerability Management,3,Network Exposure Scanning,Map exposed services and policy misconfigurations across perimeter firewalls and DMZ.,"Panorama API, Nmap TCP/UDP, SNMPv3 on edge devices",Panorama API key per tenant; SNMPv3 authPriv; all secrets in Vault; source IP allow-listed.,"network_assets, network_findings, firewall_policies",≥90% subnet coverage; port/service inventory updated; policy anomalies flagged.,ACL blocks; scan budget exceeded; SNMP auth fail; API throttling.,daily,15,NetOps,design,P2 - Elevated,High,4.0,2,https://panorama/api/; nmap://scanner; snmpv3://edge-fw,NetOps via Vault (kv/tenants/<tenant>/panorama),90,"network_findings(id uuid pk, tenant_id, ip inet, port int, svc text, severity text, meta jsonb)","Open-port delta report, exposed service list, policy drift summary; Raw network_assets export; Raw network_findings export; Raw firewall_policies export",Throttle probes; fall back to last inventory; requeue with backoff; notify NetOps.
cve_patch_gap_analyzer,Vulnerability Management,3,Network Exposure Scanning,Map exposed services and policy misconfigurations across perimeter firewalls and DMZ.,"Panorama API, Nmap TCP/UDP, SNMPv3 on edge devices",Panorama API key per tenant; SNMPv3 authPriv; all secrets in Vault; source IP allow-listed.,"network_assets, network_findings, firewall_policies",≥90% subnet coverage; port/service inventory updated; policy anomalies flagged.,ACL blocks; scan budget exceeded; SNMP auth fail; API throttling.,daily,15,NetOps,design,P1 - High,High,4.5,2,https://panorama/api/; nmap://scanner; snmpv3://edge-fw,NetOps via Vault (kv/tenants/<tenant>/panorama),90,"network_findings(id uuid pk, tenant_id, ip inet, port int, svc text, severity text, meta jsonb)","Open-port delta report, exposed service list, policy drift summary; Raw network_assets export; Raw network_findings export; Raw firewall_policies export",Throttle probes; fall back to last inventory; requeue with backoff; notify NetOps.
patch_level_verification,Vulnerability Management,3,Network Exposure Scanning,Map exposed services and policy misconfigurations across perimeter firewalls and DMZ.,"Panorama API, Nmap TCP/UDP, SNMPv3 on edge devices",Panorama API key per tenant; SNMPv3 authPriv; all secrets in Vault; source IP allow-listed.,"network_assets, network_findings, firewall_policies",≥90% subnet coverage; port/service inventory updated; policy anomalies flagged.,ACL blocks; scan budget exceeded; SNMP auth fail; API throttling.,daily,15,NetOps,design,P2 - Elevated,High,4.0,2,https://panorama/api/; nmap://scanner; snmpv3://edge-fw,NetOps via Vault (kv/tenants/<tenant>/panorama),90,"network_findings(id uuid pk, tenant_id, ip inet, port int, svc text, severity text, meta jsonb)","Open-port delta report, exposed service list, policy drift summary; Raw network_assets export; Raw network_findings export; Raw firewall_policies export",Throttle probes; fall back to last inventory; requeue with backoff; notify NetOps.
