Category,Module Name,Purpose / Output Goal,Dependencies & Notes,Expertise Level,Team,OS,Application,Pre Config,Compliance Mapping
Forensics & Investigations,disk_image_snapshot,Schedule full-disk triage images,Disk imaging tool; off-host storage,Level 4,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Storage targets defined; Imaging schedule configured,
Forensics & Investigations,timeline_reconstructor,Correlate events into investigation timelines,Forensic DB; event feeds,Level 4,Security & Compliance Team,Platform agnostic,Forensic DB,Event feed ingestion configured,
Forensics & Investigations,artifact_collector,Gather artifacts into evidence packages,Collection rules; agent access,Level 3,Security & Compliance Team,Platform agnostic,Agent (Tenantra),Collection rules defined,
Insider Threat & Behavior,insider_threat_detector,Detect lateral movement & data misuse,UEBA engine; agent telemetry,Level 4,Security & Compliance Team,"Windows, Linux, macOS",UEBA Engine,Baseline user profiles loaded; Agent telemetry enabled,
Insider Threat & Behavior,data_access_audit,Log detailed DB & file access events,DB audit API; file system hooks,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Access policies defined; DB audit user configured,
Insider Threat & Behavior,privilege_escalation_tracker,Track sudden permission changes,Audit logs; AD/GPO,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Privilege baseline imported; Audit log integration,
Insider Threat & Behavior,credential_theft_monitor,Identify LSASS or /etc/shadow access attempts,LSA/auditd integration,Level 4,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),LSA/auditd integration configured,
Insider Threat & Behavior,clipboard_leak_detector,Hook OS clipboard to catch sensitive copy/paste,Clipboard hook; agent,Level 4,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Clipboard hook enabled; Policy patterns imported,
Cloud Security Posture Management,cspm_compliance_scanner,Scan AWS/Azure/GCP against CIS/NIST profiles,Cloud SDKs; IAM credentials,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Cloud SDKs,IAM roles & credentials configured,
Cloud Security Posture Management,iam_policy_analyzer,Detect overly permissive IAM roles,Cloud SDKs; policy baseline,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Cloud SDKs,IAM baseline policies loaded,
Cloud Security Posture Management,public_bucket_detector,Find misconfigured S3/GCS buckets,Cloud SDKs; bucket inventory,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Cloud SDKs,Bucket list imported,
Cloud Security Posture Management,cloudtrail_log_validator,Validate integrity & completeness of CloudTrail logs,Cloud SDKs; log bucket,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Cloud SDKs,Log bucket configured,
Cloud Security Posture Management,k8s_helm_linter,Lint K8s charts & RBAC configs,Helm CLI; Kubernetes API,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Helm,Chart repo access configured,
Cloud Security Posture Management,serverless_vuln_scanner,Scan serverless functions for CVEs,SCA tool; function inventory,Level 3,Security & Compliance Team,"Windows, Linux, macOS",SCA Tools,Function list synced; SCA tool credentials configured,
Cloud Security Posture Management,container_runtime_inspector,Compare host vs. container state,Container runtime API,Level 3,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),Host inventory synced,
Privacy & Data Governance,data_classification_scanner,Auto-tag PII/PHI/PCI data,Classifier models; regex rules,Level 3,Security & Compliance Team,"Windows, Linux, macOS",DLP/Agent,Classifier model deployed; Policy patterns defined,
Privacy & Data Governance,data_retention_policy_checker,Enforce archive & purge rules,Retention policy definitions,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Retention policies loaded,
Privacy & Data Governance,gdpr_rights_tracker,Track right-to-erasure & consent requests,Compliance DB; user request logs,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Compliance DB,Consent logs imported,
Privacy & Data Governance,cookie_consent_audit,Verify web cookie consent policy,Web scanner; policy config,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Web Scanner,Cookie policy file configured,
Privacy & Data Governance,data_residency_validator,Ensure data remains in approved regions,Geo-IP DB; storage service API,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Cloud SDKs,Geo-fencing rules loaded,
SOAR & Incident Response,incident_case_manager,Manage IR tickets & evidence,SOAR platform; ticketing API,Level 4,Security & Compliance Team,"Windows, Linux, macOS",SOAR Platform,Ticketing integration credentials configured,
SOAR & Incident Response,playbook_execution_engine,"Automate IR workflows (contain, eradicate)",Ansible/Terraform; SOAR playbooks,Level 5,Security & Compliance Team,"Windows, Linux, macOS",Ansible/Terraform,Playbooks imported; Orchestration credentials configured,
SOAR & Incident Response,alert_deduplicator,Suppress & group duplicate alerts,SOAR dedup rules,Level 3,Security & Compliance Team,"Windows, Linux, macOS",SOAR Platform,Deduplication rules defined,
SOAR & Incident Response,runbook_documenter,Auto-generate IR runbook docs,Documentation templates; SOAR integration,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Documentation DB,Templates imported,
SOAR & Incident Response,post_incident_reporter,Produce SLA/KPI post-incident reports,Reporting engine; KPI definitions,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Reporting Engine,KPI definitions imported,
SOAR & Incident Response,forensic_snapshot_rollup,Consolidate evidence into single package,Agent; collection rules,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Collection rules configured,
Continuous Compliance,sox_control_matrix_validator,Validate SOX control matrices against system configs,SOX matrix; baseline config snapshots,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),SOX matrix uploaded; Baseline snapshots configured,
Audit & Reporting,third_party_policy_compliance,Ensure third-party tools follow organizational policies,Policy templates; API/C SV import,Level 3,Security & Compliance Team,"Windows, Linux, macOS",CSV/API,Policy templates configured,
Threat Detection,ransomware_protection_audit,Check for anti-ransomware controls & behavior,Ransomware policy list; EDR integration,Level 4,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),Ransomware policy profiles loaded,
Threat Detection,web_shell_detector,Detect web shell uploads & execution,Web root paths; file monitoring,Level 4,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),Web root paths configured; File monitoring rules defined,
Audit & Reporting,syslog_integrity_monitor,Monitor syslog servers for tampering,Syslog endpoint access; agent,Level 3,Security & Compliance Team,Linux,Agent (Tenantra),Syslog endpoints defined; Agent configured to collect syslog,
Forensics & Investigations,event_log_correlator,Correlate Windows Event logs with security events,Windows Event subscriptions; SIEM connector,Level 4,Security & Compliance Team,Windows,Agent (Tenantra),Event subscriptions configured; SIEM API credentials set,
Insider Threat & Behavior,badge_access_audit,Review physical access logs for anomalies,Badge system API; access log feeds,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Badge System API,Access log feeds configured,
Threat Detection,usb_device_audit,Track USB device insertions/removals,USB audit hooks; agent,Level 3,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),USB auditing enabled; Hook driver installed,
Threat Detection,lolbins_usage,Monitor usage of living-off-the-land binaries,LOLbins list; process telemetry,Level 4,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),LOLBins list imported; Agent telemetry enabled,
Forensics & Investigations,parent_child_process_analyzer,Deep-dive into process spawn chains,ETW/auditd rules; graph engine,Level 4,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),ETW/auditd rules configured,
System Security Hygiene,ssh_bruteforce_detector,Detect repeated SSH login failures,fail2ban/IPTables; auth logs,Level 3,Security & Compliance Team,Linux,Agent (Tenantra),fail2ban configured; IP tables rules loaded,
System Security Hygiene,bastion_host_audit,Audit hardened gateway host configurations,Bastion configs; SSH logs,Level 3,Security & Compliance Team,Linux,Agent (Tenantra),Bastion configs imported; Agent configured to monitor SSH,
Threat Detection,password_spraying_detector,Identify mass authentication attempts,Auth logs; threshold rules,Level 4,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),Auth log feed configured; Threshold rules defined,
Audit & Reporting,kerberos_ticket_audit,Audit Kerberos tickets for anomalous privilege use,Kerberos logs; event logs,Level 3,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),Kerberos logging enabled; Ticket audit policies loaded,
Audit & Reporting,service_account_analyzer,Flag service accounts with excessive privileges,Service account list; AD API,Level 3,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),Service account list imported; AD read permissions assigned,
Insider Threat & Behavior,password_hash_leak_detector,Detect attempts to read LSASS or /etc/shadow hashes,Hash access logs; LSA/auditd integration,Level 4,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),LSA/auditd integration configured; Audit policies defined,
Configuration Drift & Baseline,registry_permissions_check,Ensure registry keys have secure ACLs,Baseline ACL definitions,Level 3,Security & Compliance Team,Windows,Agent (Tenantra),Baseline ACLs imported; Agent configured to check registry,
Audit & Reporting,file_integrity_monitor,Watch critical files for unauthorized changes,file watch rules; agent,Level 3,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),File watch rules configured; Agent installed,
System Security Hygiene,drive_encryption_check,Verify full disk encryption status,Encryption status API; agent,Level 3,Security & Compliance Team,"Windows, macOS, Linux",Agent (Tenantra),Encryption policies loaded; Agent configured to check encryption status,
System Security Hygiene,firewall_rule_audit,Verify host-based firewall rules,Baseline firewall rules; agent,Level 3,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),Baseline firewall rules imported; Agent configured,
System Security Hygiene,endpoint_encryption_status,Confirm file-level encryption is active,Encryption agent status; agent,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Encryption agent installed; Policies configured,
System Security Hygiene,secure_boot_validator,Ensure Secure Boot is enabled,BIOS/UEFI check; agent,Level 4,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),BIOS/UEFI Secure Boot check enabled; Agent configured,
Threat Detection,dtmf_spoofing_detector,Detect SIP/VoIP authentication bypass attempts,VoIP call logs; DSP analysis,Level 4,Security & Compliance Team,Platform (any VoIP OS),VoIP System API,Call log ingestion configured; DSP module access provided,
Threat Detection,sip_flood_detector,Identify SIP flood attacks,SIP logs; threshold engine,Level 4,Security & Compliance Team,Platform (any VoIP OS),VoIP System API,SIP log feed configured; Flood thresholds defined,
Threat Detection,api_key_leak_detector,Flag hardcoded API keys in source repos,GitHub/GitLab API; regex engine,Level 3,Security & Compliance Team,Platform agnostic,GitHub/GitLab API,Repo scanning enabled; API credentials stored securely,
Threat Detection,code_injection_tester,Test endpoints for SQL/OS command injection,DAST tool; test harness,Level 4,Security & Compliance Team,Platform agnostic,DAST Tool,Test harness configured; Endpoint list imported,
Audit & Reporting,ssl_cipher_audit,Verify only strong ciphers are enabled,Cipher baseline; agent,Level 3,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),Cipher baseline imported; Agent configured,
Threat Detection,tls_renegotiation_detector,Detect insecure TLS renegotiation requests,DPI; network tap,Level 4,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),Network tap configured; DPI rules loaded,
Configuration Drift & Baseline,secure_protocol_enforcer,Enforce TLS1.2+ and disable SSLv3,Protocol policy list; agent,Level 3,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),Protocol policies defined; Agent configured,
Continuous Compliance,continuous_security_drift_monitor,Alert on any deviation from security baselines,Baseline snapshots; agent,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Baseline snapshot imported; Agent configured,
Networking Devices,snmp_trap_collector,Aggregate SNMP traps for anomaly detection,SNMP v2/v3 credentials; trap receiver,Level 4,Network Admin Team,Network Appliance OS,SNMP Server,SNMP credentials configured; Trap receiver endpoint set,
Networking Devices,netflow_collector_analyzer,Ingest NetFlow/sFlow data; baseline traffic analysis,NetFlow/sFlow exporters; collector,Level 4,Network Admin Team,Network Appliance OS,NetFlow Collector,Exporters configured; Collector endpoint set,
Networking Devices,vpn_gateway_monitor,"Track VPN tunnel status, throughput, and configuration drifts",VPN appliance API; SNMP,Level 4,Network Admin Team,Network Appliance OS,VPN Appliance API,VPN credentials configured; SNMP access enabled,
Networking Devices,wireless_controller_audit,"Review SSID configs, encryption policies, and rogue AP detections",Wireless controller API,Level 4,Network Admin Team,Network Appliance OS,Wireless Controller,Controller API credentials configured,
Networking Devices,load_balancer_config_linter,"Validate F5/Azure/AWS LB rules, SSL profiles, and health-check settings",Load balancer API,Level 4,Network Admin Team,Network Appliance OS,LB API,API credentials configured; Health-check endpoints defined,
Networking Devices,ids_signature_update_monitor,Ensure Intrusion Detection systems have up-to-date signatures,IDS API; signature feed,Level 4,Network Security Team,Network Appliance OS,IDS API,Signature feed URL configured; API creds loaded,
Networking Devices,ips_policy_audit,Audit IPS rulesets against attack-surface policies,IPS API; policy baseline,Level 4,Network Security Team,Network Appliance OS,IPS API,Policy baseline imported; API credentials configured,
Networking Devices,proxy_server_config_scanner,Lint Squid/BlueCoat/NG-proxy configs for security best practices,Proxy config access; parser,Level 4,Network Security Team,Network Appliance OS,Proxy Server API,Proxy configs imported; Parser enabled,
Server Roles,hypervisor_inventory,"Enumerate VMs, hosts, and cluster configs for VMware/Hyper-V/KVM","Hypervisor APIs (vSphere, PowerCLI, libvirt)",Level 3,Infrastructure Team,"Windows, Linux",vSphere/PowerCLI/libvirt,Hypervisor credentials configured,
Server Roles,vm_network_mapping,Map virtual NICs to physical network segments,Hypervisor or SDN API; mapping data,Level 3,Infrastructure Team,"Windows, Linux",SDN/Hypervisor API,Mapping policies imported,
Server Roles,guest_agent_health_check,Ensure cloud/VM guest agents (Azure/AWS) are installed & reporting,Cloud SDK; VM agent API,Level 3,Infrastructure Team,"Windows, Linux, macOS",Azure/AWS SDK,Guest agent monitoring enabled,
Server Roles,windows_update_service_audit,Validate WSUS/SCCM sync status and update deployment,WSUS/SCCM API; update logs,Level 3,SysAdmin Team,Windows,WSUS/SCCM API,Sync schedule configured; Update group policies imported,
Server Roles,linux_kernel_audit_rules_scanner,Check that auditd and eBPF rules cover required syscalls,auditd/eBPF; policy rules,Level 4,SysAdmin Team,Linux,auditd/eBPF,Audit rules configured; eBPF profiles loaded,
Server Roles,web_server_config_scanner,"Lint Apache/IIS/Nginx configs for SSL, headers, permissions",Web server config access; SSL certificates,Level 3,Infrastructure Team,"Windows, Linux",Apache/IIS/Nginx,Config files imported; SSL cert paths defined,
Server Roles,database_server_hardening,Verify MySQL/SQL Server/PostgreSQL configs against CIS benchmarks,DB config access; CIS benchmarks,Level 3,DBA Team,"Windows, Linux",MySQL/SQL Server/PostgreSQL,DB credentials configured; Benchmark profiles loaded,
Server Roles,application_server_monitor,"Watch Tomcat/JBoss/Node.js health, thread counts, response time",App server API or JMX,Level 3,Infrastructure Team,"Windows, Linux",Tomcat/JBoss/Node.js,JMX endpoints configured; Health-check URLs defined,
Server Roles,storage_array_health_checker,"Poll SAN/NAS controllers for disk, volume, replication health",Storage array API,Level 3,Infrastructure Team,Platform agnostic,SAN/NAS API,API credentials configured; Monitoring intervals set,
Server Roles,patch_server_inventory,Detect and reconcile Linux/Windows patch servers,Patch server API; inventory access,Level 2,SysAdmin Team,"Windows, Linux",WSUS/SCCM/API,Patch server list imported; Agent pointing to patch server,
Server Roles,login_rate_limiter_audit,Ensure fail2ban/IPTables limits are in place to throttle SSH/HTTP,fail2ban or IPTables config,Level 3,Security Ops Team,"Linux, Windows",fail2ban/IPTables,Rate-limit rules loaded,
Server Roles,timestamp_skew_detector,Find servers drifting off NTP by more than X seconds,NTP service; time sync logs,Level 2,SysAdmin Team,"Windows, Linux",NTP/Chrony,NTP servers configured; Drift threshold defined,
Server Roles,file_server_share_permission_scanner,Audit SMB/NFS share permissions and access controls,SMB/NFS share access; ACL APIs,Level 3,Infrastructure Team,"Windows, Linux",SMB/NFS,Share definitions imported; ACL templates provided,
Server Roles,print_server_queue_monitor,Track print job failures and queue backlogs,Print server API; queue status,Level 2,Internal IT Team,Windows,Print Server API,Queue polling configured,
Server Roles,exchange_health_check,"Monitor Exchange DAG replication, mail queue depth",Exchange management APIs,Level 3,Infrastructure Team,Windows,Exchange Management Shell,Management Shell access configured; DAG list imported,
Server Roles,sql_server_instance_audit,"Enumerate instances, DB versions, and patch levels",SQL Server API; WMI,Level 3,DBA Team,Windows,SQL Server,WMI access configured; Instance list imported,
Server Roles,rd_gateway_monitor,Verify Remote Desktop Gateway availability and certificate status,RD Gateway API; cert store,Level 3,Infrastructure Team,Windows,RD Gateway API,Gateway endpoints configured; Cert thumbprint loaded,
Server Roles,iis_app_pool_scanner,"Check IIS app-pool configuration, identity, and recycle settings",IIS management API,Level 3,Infrastructure Team,Windows,IIS Management Shell,App-pool config path imported,
Server Roles,tomcat_security_scanner,"Validate Tomcat server.xml, web.xml for security settings",Tomcat config files,Level 3,Infrastructure Team,"Linux, Windows",Tomcat,server.xml/web.xml paths configured,
Server Roles,veeam_server_health,Monitor Veeam Backup & Replication services and job status,Veeam API,Level 2,Backup Team,Windows,Veeam Backup API,API credentials configured,
Server Roles,backup_repo_monitor,"Check backup repository capacity, dedupe ratios, and access permissions",Repo API or file share access,Level 2,Backup Team,"Windows, Linux",Veeam/Azure/AWS Backup,Repo paths configured; Credentials loaded,
Server Roles,wsus_sync_status,Ensure WSUS server is synchronized with Microsoft update catalogs,WSUS API; sync logs,Level 2,SysAdmin Team,Windows,WSUS API,Sync schedule defined; Log path imported,
Server Roles,puppet_master_health,Verify Puppet master availability and catalog compile success,PuppetDB API; catalog logs,Level 3,Configuration Team,Linux,PuppetDB,Master URL configured; Certs loaded,
Server Roles,chef_server_health,"Monitor Chef Server services, cookbook upload status",Chef Server API; cookbook repo,Level 3,Configuration Team,Linux,Chef Server API,Server URL and keys configured,
Server Roles,ansible_controller_status,Check Ansible Tower/AWX service health and job run history,Ansible API,Level 3,Configuration Team,Linux,AWX/Tower API,Controller URL and tokens configured,
CI/CD Pipeline & Build,pipeline_config_validator,Enforce standards in Jenkins/GitLab/GitHub Actions configs,CI API; config lint tool,Level 2,DevOps Team,"Linux, Windows",Jenkins/GitLab/GitHub,API credentials configured; Lint rules imported,
CI/CD Pipeline & Build,build_artifact_scanner,Inspect compiled artifacts for known vulnerabilities,Artifact repo API; SCA tool,Level 3,DevOps Team,"Linux, Windows",Nexus/Artifactory,Repo credentials configured; SCA policy loaded,
CI/CD Pipeline & Build,secrets_in_cicd_scanner,Detect hardcoded keys or credentials in pipeline definitions,CI logs access; regex engine,Level 3,DevOps Team,Platform agnostic,Jenkins/GitLab/GitHub,Log integration configured; Secret patterns defined,
CI/CD Pipeline & Build,dependency_vulnerability_checker,Scan libraries at build-time against vulnerability databases,SCA tool; CVE database,Level 3,DevOps Team,"Linux, Windows",OWASP Dependency-Check,DB path configured; Scanner plugin installed,
